School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
New School,3492029,Mahatma Gandhi School,,2024,2024-06-08 00:00:00,Ei Mindspark,Regular,IN-2022002185,Approved By Logistic Team,242945,286675,0,0,,0,0,,242945,191,1272,0,Full Payment,,2024-06-24 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-06-15 00:00:00,2025-01-13 00:00:00,286675,286680,-5,0.5831000000000001,0.5831000000000001,,,,,0,,0,MCQ,,,Online,State Board,Rajkot,Gujarat,West,Gujarat,National Sales,2024-06-11 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022873620,51788000002794676,zcrm_51788000262426212,2024-06-08 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Nakul Swamy,,2024-06-13 09:01:21,Mr. Jimil Parikh,School Owner,jimilparikh@gmail.com,+919825696169,jimilparikh@mahatmagandhischool.org,,,,,,,24000,"Opp. Ajmera Shastrinagar, Nana Mauva Main Road, Rajkot",,382010,"Opp. Ajmera Shastrinagar, Nana Mauva Main Road, Rajkot",Rajkot,Gujarat,382010,,"Nana Mauva Main Road, Rajkot","Opp. Ajmera Shastrinagar, Nana Mauva Main Road, Rajkot"
1-year School,3495131,Silver Oaks High School,,2024,"2024-04-10 00:00:00, 2024-05-04 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001890, IN-2022002009",Approved By Logistic Team,2284950,2587296,605250,807,750,0,0,,1679700,864,1944,0,Installments,2,,"2024-04-15 00:00:00, 2024-05-15 00:00:00","151313, 495512","2024-06-25 00:00:00, 2024-06-30 00:00:00","1486535, 453938",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"102518, 116403","2024-08-05 00:00:00, 2024-08-21 00:00:00","2024-08-21 00:00:00, 2025-03-29 00:00:00","1982047, 605251","1257147, 998246","-495513, 608497","0.3628, 0.5","0.3628, 0.5",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Visakhapatnam,Andhra Pradesh,South,AP/Telangana,National Sales,2024-04-01 00:00:00,"2025-03-21 00:00:00, 2025-03-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022024040, 22028000022365104",51788000002794707,"zcrm_51788000268216175, zcrm_51788000269114540","2024-04-10 00:00:00, 2024-05-04 00:00:00",pavan.kumar_ei,hakim.kanchwala_eiindia1,pavan.kumar@ei.study,Pavan kumar,Chaitanya Kolluri,,"2024-04-11 11:18:47, 2024-05-29 11:07:30",Mrs. Y Sunitha,Principal,"hakim.kanchwala@ei.study, principal@vizag.silveroaks.co.in",+917997998012,principal@vizag.silveroaks.co.in,Mrs. Y Sunitha,hakim.kanchwala@ei.study,+917997998012,,,,125000,"Beside Gitam Medical College, Rushikonda",,530045,"Beside Gitam Medical College, Rushikonda",Visakhapatnam,Andhra Pradesh,530045,VPNS12041B,Rushikonda,"Beside Gitam Medical College, Rushikonda"
Retention School,3495816,"Young Horizons School, Karaya Road",,2024,2024-05-24 00:00:00,Ei CARES,Regular,"IN-2022002086, IN-2022002087",Approved By Logistic Team,274487,274487,0,0,,274487,188,"1350, 1650",0,0,,0,Installments,4,,2024-05-27 00:00:00,"28461, 40161",2024-08-27 00:00:00,"28461, 40161",2024-10-28 00:00:00,"28461, 40161",2024-12-31 00:00:00,"28461, 40161","1138.22, 1606.22",2024-06-26 00:00:00,2025-03-21 00:00:00,"113844, 160644","121232, 144166","-8526, 14872","0.5286, 0.6143","0.5286, 0.6143",,,,,0,,4,"MCQ, MCQ + Subjective",Printing By EI,OMR,,CISCE,kolkata,West Bengal,East,West Bengal,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022641212, 22028000022641276",51788000002794714,"zcrm_51788000269951001, zcrm_51788000269951138",2024-05-24 00:00:00,lopamudra.das_eiindia1,mitul.patel_ei1,lopamudra.das@ei.study,Lopamudra das,Lopamudra Das,,"2024-05-30 10:20:42, 2024-05-30 10:21:03",Ms. Sarmistha Sen,Principal,yhskaraya@gmail.com,+919830494565,yhskaraya@gmail.com,,,,,,,24000,100B Karaya Road,,700019,100B Karaya Road,kolkata,West Bengal,700019,CALY00130E,100B Karaya Road,100B Karaya Road
Retention School,3505875,"The Shri Ram School, Junior Aravali",,2024,"2024-04-03 00:00:00, 2024-11-28 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001823, IN-2022002633",Approved By Logistic Team,784157,866531,326525,359,910,0,0,,457632,180,2542,0,"Full Payment, Installments",2,2024-12-10 00:00:00,"2000-01-01 00:00:00, 2024-04-05 00:00:00","0, 270003","2000-01-01 00:00:00, 2024-07-15 00:00:00","0, 270003",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"4564, 6431","2024-05-10 00:00:00, 2024-12-12 00:00:00","2024-08-24 00:00:00, 2024-12-12 00:00:00","326525, 540006","320094, 530114","0, 5328","0.16670000000000001, 0.5670000000000001","0.16670000000000001, 0.5670000000000001",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Gurugram,Haryana,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,"2025-03-31 00:00:00, 2025-04-12 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021905104, 22028000026470452",51788000002794916,"zcrm_51788000267829442, zcrm_51788000278308381","2024-04-03 00:00:00, 2024-11-28 00:00:00","anshul.nagpal_ei, ravinder.kaur_ei","fagun.saraiya_eiindia1, sourabh.mehta_eiindia","anshul.nagpal@ei.study, ravinder.kaur@ei.study","Anshul nagpal, Ravinder kaur",Vaishali Yadav,Vaishali Yadav,"2024-04-04 10:51:42, 2024-11-28 17:14:04",Mr. Anupam Jain,Accounts,anupam.jain@tsrs.org,+919891369408,junior.aravali@tsrs.org,Mr. Anupam Jain,anupam.jain@tsrs.org,+919891369408,Mr. Anupam Jain,anupam.jain@tsrs.org,+919891369408,0,"Hamilton Court, Behind, DLF City, DLF Phase IV, Gurugram, Haryana 122002",,122002,"Hamilton Court, Behind, DLF City, DLF Phase IV,",Gurugram,Haryana,122002,,"Hamilton Court, Behind, DLF City, DLF Phase IV, Gurugram, Haryana 122002","Hamilton Court, Behind, DLF City, DLF Phase IV,"
New School,3507484,Global Concept School,,2024,2024-03-22 00:00:00,Ei CARES,Regular,IN-2022001721,Approved By Logistic Team,502567,502567,0,0,,502567,335,1500,0,0,,0,Installments,4,,2024-03-25 00:00:00,125642,2024-08-02 00:00:00,125642,2024-10-02 00:00:00,125642,2024-12-31 00:00:00,125642,0,2024-03-27 00:00:00,2025-04-09 00:00:00,502568,360000,142568,0.423,0.423,,,,,0,,4,MCQ,Printing By EI,OMR,,State Board,KARHI,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-04-01 00:00:00,2025-03-29 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021677100,51788000002794932,zcrm_51788000257413175,2024-03-22 00:00:00,Laxminarayan Dogayan,sourabh.mehta_eiindia,laxminarayan.dogayan@ei.study,Laxminarayan dogayan,Laxminarayan Dogayan,,2024-03-22 15:21:00,Mr. Rahul Goyal,Principal,rahulgoyal.brw@gmail.com,+919755935648,shrikanwartara.karhi@gmail.com,Mr. Rahul Goyal,rahulgoyal.brw@gmail.com,+919755935648,,,,35000,"KODLIYA KHEDI ROAD, KARHI DIST.KHARGONE, MP-451220",,451220,"KODLIYA KHEDI ROAD, KARHI DIST.KHARGONE, MP-451220",KARHI,Madhya Pradesh,451220,,"KODLIYA KHEDI ROAD, KARHI DIST.KHARGONE, MP-451220","KODLIYA KHEDI ROAD, KARHI DIST.KHARGONE, MP-451220"
Retention School,3513471,The Shri Ram Universal School,,2024,"2024-03-29 00:00:00, 2024-03-30 00:00:00","Ei ASSET, Ei CARES",Regular,"IN-2022001767, IN-2022001774",Approved By Logistic Team,1552949,1552949,433200,456,950,1119749,622,1800,0,0,,0,"Full Payment, Installments",2,2024-06-05 00:00:00,"2000-01-01 00:00:00, 2024-06-05 00:00:00","0, 216600","2000-01-01 00:00:00, 2024-08-10 00:00:00","0, 216600",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"111975, 43320",2024-07-05 00:00:00,"2024-07-05 00:00:00, 2024-10-25 00:00:00","1119749, 433200","1007774, 389880",0,"0.30760000000000004, 0.5","0.30760000000000004, 0.5",,,,,"0, Summer Round",OMR,"0, 4",MCQ,Printing By EI,OMR,,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,"2024-04-01 00:00:00, 2024-06-01 00:00:00",2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021820480, 22028000021838212",51788000002795093,"zcrm_51788000267558318, zcrm_51788000267786001","2024-03-29 00:00:00, 2024-03-30 00:00:00",chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Chaitanya Kolluri,,"2024-04-05 19:13:40, 2024-04-05 19:13:44","Dr. Jyothi Reddy, Dr.Jyothi Reddy",Principal,principal@tsushyderabad.com,+919542949898,,Dr. Jyothi Reddy Ghanta,principal@tsushyderabad.com,+919542949898,Ms. Nirupama K,vpjuniorschool@tsushyderabad.com,+919949535533,0,"2-59/1/JM/104, Financial District Nanakramguda, Gachibowli, Serilingampalle (M)",,500032,"2-59/1/JM/104, Financial District Nanakramguda, Gachibowli, Serilingampalle (M)",Hyderabad,Telangana,500032,HYDV14326E,"2-59/1/JM/104, Financial District Nanakramguda, Gachibowli, Serilingampalle (M)","2-59/1/JM/104, Financial District Nanakramguda, Gachibowli, Serilingampalle (M)"
Retention School,3513547,"The Global Edge School, Kokapet",,2024,2024-04-05 00:00:00,Ei ASSET,Regular,IN-2022001857,Approved By Logistic Team,483360,483360,483360,848,570,0,0,,0,0,,0,Full Payment,,2024-07-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,48336,2024-09-23 00:00:00,2024-09-23 00:00:00,483360,435024,0,0.62,0.62,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021930420,51788000002795094,zcrm_51788000266680177,2024-04-05 00:00:00,chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Jasper Jessie,,2024-04-24 10:40:00,"Ms, Swathi Reddy",School Owner,accountsincharge@globaledgeschool.com,+919640551155,,,,,Ms. Supriya,supriyakokapet@globaledgeschool.com,+919908546359,0,"Sy No. 166, Opp. Sri Krishna Goshala, Kokapet Road, Narsingi Village, Gandipet Mandal, R R District",,500075,"Sy No. 166, Opp. Sri Krishna Goshala, Kokapet Road, Narsingi Village, Gandipet Mandal, R R District",Hyderabad,Telangana,500075,HYDS38805E,"Sy No. 166, Opp. Sri Krishna Goshala, Kokapet Road, Narsingi Village, Gandipet Mandal, R R District","Sy No. 166, Opp. Sri Krishna Goshala, Kokapet Road, Narsingi Village, Gandipet Mandal, R R District"
New School,351831,Yuva Bharathi Public School,,2024,2024-10-17 00:00:00,Ei ASSET,Regular,IN-2022002525,Approved By Logistic Team,537107,537107,537107,1074,500,0,0,,0,0,,0,Installments,3,,2024-10-17 00:00:00,268554,2024-12-02 00:00:00,161132,2024-12-30 00:00:00,107421,2000-01-01 00:00:00,0,29001,2024-10-29 00:00:00,2025-03-28 00:00:00,537107,525877,-17771,0.6666,0.6666,,,,,Winter Round,Online,0,MCQ,,,,CBSE,coimbatore,Tamil Nadu,South,Tamil Nadu,National Sales,2024-12-02 00:00:00,2025-02-28 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025533184,51788000002735253,zcrm_51788000258008819,2024-10-17 00:00:00,praveenkumar.rajamanickam_ei,hakim.kanchwala_eiindia1,praveenkumar.rajamanickam@ei.study,Praveenkumar rajamanickam,Praveenkumar Rajamanickam,,2024-10-30 10:15:33,Mrs Geetha Jayachandran,Principal,principal@yuvabharathi.in,+917305959603,info@yuvabharathi.in,Mrs Geetha Jayachandran,principal@yuvabharathi.in,+917305959603,Mrs Vinolia,vp.primary@yuvabharathi.in,+917305959603,100000,"Thudiyalur road,somsyampalayam post,",,641108,"Thudiyalur road,somsyampalayam post,",coimbatore,Tamil Nadu,641108,CMBB03296G,"Yuva Enclave, Kanuvai - Thudiyalur road, Kanuvai,","Yuva Enclave, Kanuvai - Thudiyalur road, Kanuvai,"
Retention School,3520543,"The HDFC School, Pune",,2024,2024-05-04 00:00:00,Ei ASSET,Regular,IN-2022002007,Approved By Logistic Team,611094,611094,611094,940,650,0,0,,0,0,,0,Installments,2,,2024-06-30 00:00:00,305547,2024-08-31 00:00:00,305547,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,61175,2024-10-29 00:00:00,2024-10-29 00:00:00,611094,550569.1,-650,0.5666,0.5666,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Pune,Maharashtra,West,Rest of Maharashtra and Goa,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022354400,51788000002795266,zcrm_51788000268908001,2024-05-04 00:00:00,aarti.iyer_ei,maruf.shaikh1,aarti.iyer@ei.study,Aarti iyer,Nainesh Bhise,,2024-07-12 13:05:51,Ms. Amruta Prabhu,Principal,principal.pune@thehdfcschool.com,+919423505045,admissions.pune@thehdfcschool.com,,,,,,,0,Magarpatta Rd,,411028,Magarpatta Rd,Pune,Maharashtra,411028,,Magarpatta Rd,Magarpatta Rd
Retention School,3534332,Akshar Arbol International School,,2024,2024-04-05 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022001862, IN-2022001865",Approved By Logistic Team,255775,286041,87629,128,685,0,0,,168146,62,2712,0,Installments,"2, 4",,"2024-06-10 00:00:00, 2024-06-30 00:00:00","43815, 49603","2024-08-10 00:00:00, 2024-09-30 00:00:00","43815, 49603","2000-01-01 00:00:00, 2024-10-10 00:00:00","0, 49603","2000-01-01 00:00:00, 2024-12-10 00:00:00","0, 49603",0,2024-07-23 00:00:00,2025-01-04 00:00:00,"198412, 87630","0, 172791","25621, 87630","0.11109999999999999, 0.5436","0.11109999999999999, 0.5436",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,IGCSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021928200, 22028000021940136",51788000002795505,"zcrm_51788000266711129, zcrm_51788000267963001",2024-04-05 00:00:00,"vineeth.v_ei, zohra.khan_ei",hakim.kanchwala_eiindia1,"vineeth.v@ei.study, zohra.khan@ei.study","Vineeth v, Zohra khan",Vineeth T V,,"2024-05-22 11:18:28, 2024-05-22 11:19:18",Mrs. Priya Dixit,Principal,headofschool@akshararbol.edu.in,"+919444973275, +919840922615",admin.ecr@akshararbol.edu.in,Mrs.Akila Srinivas,principal.cty@akshararbol.edu.in,,,,,0,"1/778, Bethel Nagar North 9th street Injambakkam,Chennai",,600115,"1/778, Bethel Nagar North 9th street Injambakkam,Chennai",Chennai,Tamil Nadu,600115,CHEA25446B,"1/778, Bethel Nagar North 9th street Injambakkam,Chennai","1/778, Bethel Nagar North 9th street Injambakkam,Chennai"
New School,353776,"Delhi Public School, Vasant Kunj",,2024,"2024-04-07 00:00:00, 2024-08-21 00:00:00","Ei ASSET, Ei Teacher Training",Regular,"3537762024.00, IN-2022002458",Approved By Logistic Team,400000,472000,0,1251,0,0,0,0,0,0,0,"0, 400000",Installments,"1, 3",2024-04-07 00:00:00,"2024-04-07 00:00:00, 2024-08-21 00:00:00",0,"2024-04-07 00:00:00, 2024-10-01 00:00:00",0,"2024-04-07 00:00:00, 2024-12-23 00:00:00",0,"2000-01-01 00:00:00, 2024-04-07 00:00:00",0,0,2024-04-07 00:00:00,2024-04-07 00:00:00,"0, 400000",0,"0, 400000","0, 1","0, 1",0,0,0,0,"0, Summer Round",OMR,0,MCQ,,,,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,"2024-04-01 00:00:00, 2024-04-07 00:00:00","2024-04-07 00:00:00, 2025-03-31 00:00:00","Regular School: Active school with student count and rate per student defined, Regular School: Active school with teacher count and rate per teacher defined","22028000024247608, 3537762024",51788000002735271,zcrm_51788000272971676,"2024-04-07 00:00:00, 2024-08-21 00:00:00","maruf.shaikh@ei.study, vibhor.tyagi_ei","maruf.shaikh1, maruf.shaikh@ei.study","maruf.shaikh@ei.study, vibhor.tyagi@ei.study","Maruf shaikh, Vibhor tyagi",Vibhor Tyagi,"Chaitanya Kolluri, Vibhor Tyagi","2024-04-07 00:00:00, 2024-08-21 15:58:39",Mrs. Deepti Vohra,Principal,principal@dpsvasantkunj.com,+919016039311,principal@dpsvasantkunj.com,,,,,,,"0, 95000","Sector - C, Pocket -5, Vasant Kunj,",,110070,"Sector - C, Pocket -5, Vasant Kunj,",Delhi,Delhi,110070,,"Sector - C, Pocket -5, Vasant Kunj,","Sector - C, Pocket -5, Vasant Kunj,"
New School,354838,St. Xavier^s Higher Secondary School,,2024,2023-12-05 00:00:00,Ei CARES,Regular,IN-2022001339,Approved By Logistic Team,1169953,1169953,0,0,,1169953,780,1500,0,0,,0,Installments,4,,2024-02-29 00:00:00,292488,2024-05-31 00:00:00,292488,2024-08-31 00:00:00,292488,2024-11-30 00:00:00,292488,0,2024-04-16 00:00:00,2024-12-06 00:00:00,1169952,1117033.51,52918,0.42310000000000003,0.42310000000000003,,,,,0,,4,MCQ,Printing By EI,OMR,,State Board,Tura,Meghalaya,East,North East,National Sales,2024-02-05 00:00:00,2024-12-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020170848,51788000002735279,zcrm_51788000261367296,2023-12-05 00:00:00,anita.kamath,sourabh.mehta_eiindia,anita.kamath@ei.study,Anita kamath,Sunny Brahma,,2024-02-08 10:32:14,Ms. Sr. Maria D'Silva,Principal,saintxaviershss@gmail.com,+918257936144,saintxaviershss@gmail.com,Sr. Maria D'Silva,saintxaviershss@gmail.com,+918257936144,Sr. Maria D'Silva,saintxaviershss@gmail.com,+918257936144,33500,"Chandmari, West Garo Hills,",,794002,"Chandmari, West Garo Hills,",Tura,Meghalaya,794002,SHLS12021C,"West Garo Hills,","West Garo Hills,"
1-year School,3549767,Shri Ganesh Sr. Sec School,Dropped,2024,2024-07-22 00:00:00,Ei CARES,Regular,IN-2022002362,Approved By Logistic Team,691560,691560,0,0,,691560,553,1251,0,0,,0,Installments,3,,2024-07-24 00:00:00,235130,2024-09-16 00:00:00,228215,2024-11-30 00:00:00,228215,2000-01-01 00:00:00,0,4400,2024-10-11 00:00:00,2026-02-23 00:00:00,691560,444695.4,242465,0.55,0.5,,,,0.05,0,,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Sidhi,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-07-01 00:00:00,2025-06-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023631960,51788000002795863,zcrm_51788000272113001,2024-07-22 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Sanjay Rai,Rohit Kumar,2024-07-24 16:39:06,Mahendra Tiwari,Principal,mahendrakt44@gmail.com,+918817112516,sgsssidhi@gmail.com,,,,,,,0,NAISHA EDUCATION & WELFARE PRIVATE LIMITED,,486661,NAISHA EDUCATION & WELFARE PRIVATE LIMITED,Sidhi,Madhya Pradesh,486661,JBPN02186C,NAISHA EDUCATION & WELFARE PRIVATE LIMITED,NAISHA EDUCATION & WELFARE PRIVATE LIMITED
1-year School,355230,Sherwood School,Dropped,2024,2024-01-06 00:00:00,Ei CARES,Regular,IN-2022001385,Approved By Logistic Team,226802,226802,0,0,,226802,240,945,0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-02-05 00:00:00,2024-04-04 00:00:00,226802,226802,0,0.2923,0.1923,0.1,,,,0,,2,MCQ,Printing By EI,OMR,,Other,Tura,Meghalaya,East,North East,National Sales,2024-02-29 00:00:00,2025-01-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020549208,51788000002735282,zcrm_51788000262735003,2024-01-06 00:00:00,gargi.ghosh_ei,sourabh.mehta_eiindia,gargi.ghosh@ei.study,Gargi ghosh,Sunny Brahma,Pooja Kapoor,2024-01-16 11:00:34,Ms. Kimberly Momin,School Owner,kim.dbrass@gmail.com,+917807183408,tasha.abs@gmail.com,Tasha Ann Beddoe Sawkmie,tasha.abs@gmail.com,+918974962680,,,,0,"SH 11, Danakgre,",,794101,"SH 11, Danakgre,",Tura,Meghalaya,794101,,"SH 11, Danakgre,","SH 11, Danakgre,"
1-year School,3552349,Sudarshanam Vidyashram,,2024,2024-02-27 00:00:00,"Ei CARES, Ei Mindspark",Regular,"IN-2022001558, IN-2022001559",Approved By Logistic Team,1622883,1758932,0,0,,867057,529,1639,755826,529,1429,0,Installments,4,,2024-04-02 00:00:00,"216764, 222969",2024-07-01 00:00:00,"216764, 222969","2024-09-01 00:00:00, 2024-09-30 00:00:00","216764, 222969",2024-12-31 00:00:00,"216764, 222969",0,2024-04-08 00:00:00,2025-03-01 00:00:00,"867056, 891876","841241, 894409","-2533, 25815",0.5317000000000001,0.5317000000000001,,,,,0,,"0, 4",MCQ,Printing By EI,OMR,Online,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-04-01 00:00:00,"2025-03-31 00:00:00, 2025-04-30 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021244452, 22028000021244512",51788000002795889,"zcrm_51788000265708659, zcrm_51788000265934507",2024-02-27 00:00:00,sathish.kumar_ei,sourabh.mehta_eiindia,sathish.kumar@ei.study,Sathish kumar,Nisha Murali,,"2024-03-22 12:30:47, 2024-03-28 08:18:33",Venkatesh Raja,"Principal, School Owner",pvr@saec.ac.in,"+919884097976, +919940381123",pvr@saec.ac.in,Venkatesh Raja,pvr@saec.ac.in,+919884097976,,,,100000,"Ponamallee Avadi Main Road, Thiruverkadu",,600077,"Ponamallee Avadi Main Road, Thiruverkadu",Chennai,Tamil Nadu,600077,,"Ponamallee Avadi Main Road, Thiruverkadu","Ponamallee Avadi Main Road, Thiruverkadu"
Retention School,3557796,Akshar Arbol International School,,2024,"2024-04-05 00:00:00, 2024-04-16 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001861, IN-2022001912",Approved By Logistic Team,308628,342311,121498,173,702,0,0,,187130,69,2712,0,Installments,"2, 4",,2024-06-10 00:00:00,"55203, 60749","2024-08-10 00:00:00, 2024-09-10 00:00:00","55203, 60749","2000-01-01 00:00:00, 2024-10-10 00:00:00","0, 55203","2000-01-01 00:00:00, 2024-12-10 00:00:00","0, 55203",0,2024-07-23 00:00:00,2025-05-17 00:00:00,"121498, 220812","0, 312130","-91318, 121498","0.11109999999999999, 0.5318","0.11109999999999999, 0.5318",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,Cambridge,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021930576, 22028000022085392",51788000002796045,"zcrm_51788000267952045, zcrm_51788000267952173","2024-04-05 00:00:00, 2024-04-16 00:00:00",nisha.murali_eiindia,hakim.kanchwala_eiindia1,nisha.murali@ei.study,Nisha murali,Vineeth T V,,"2024-05-22 11:16:37, 2024-05-22 11:16:42",Mrs. Priya Dixit,Other,headofschool@akshararbol.edu.in,+919840922615,headofschool@akshararbol.edu.in,Mrs.Akila Srinivas,principal.cty@akshararbol.edu.in,,,,,0,"10, Chari Street, TNagar, Chennai - 600017",,600017,"10, Chari Street, TNagar, Chennai - 600017",Chennai,Tamil Nadu,600017,CHEA25446B,"10, Chari Street, TNagar, Chennai - 600017","10, Chari Street, TNagar, Chennai - 600017"
New School,3567542,Keystone International School,,2024,2023-12-23 00:00:00,Ei ASSET,Regular,IN-2022001366,Approved By Logistic Team,186300,186300,186300,115,1620,0,0,,0,0,,0,Installments,2,,2023-12-26 00:00:00,93150,2024-08-01 00:00:00,93150,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,19440,2023-12-29 00:00:00,2025-02-21 00:00:00,186300,174960,-8100,0.46,0.46,,,,,Both Rounds,OMR,0,MCQ,,,,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020383320,51788000002796143,zcrm_51788000262575454,2023-12-23 00:00:00,aji.thomas_eiindia,sourabh.mehta_eiindia,aji.thomas@ei.study,Aji thomas,Aji Thomas,,2023-12-29 15:15:30,Mr. Rajesh Majumdar,Principal,hos@keystoneeducation.in,+919676789893,info@keystoneeducation.in,Mr. Rajesh Majumdar,hos@keystoneeducation.in,+919676789893,,,,203000,Nanakramguda,,502032,Nanakramguda,Hyderabad,Telangana,502032,,Nanakramguda,Nanakramguda
New School,3568055,World One School,Dropped,2024,2024-07-25 00:00:00,Ei CARES,Regular,IN-2022002375,Approved By Logistic Team,168801,168801,0,0,,168801,63,2679,0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-08-06 00:00:00,2025-05-02 00:00:00,168801,165424,3377,0.409,0.359,0.05,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,IGCSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,2024-08-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023747404,51788000002796250,zcrm_51788000272053931,2024-07-25 00:00:00,neela.omprakash_ei,maruf.shaikh1,neela.omprakash@ei.study,Neela omprakash,Neela  Om Prakash,Jasper Jessie,2024-08-07 17:31:22,Mr. Kranthi Kiran,Other,kranthikiran@vignan.edu.in,+919176107384,kranthikiran@vignan.edu.in,,,,,,,0,Hafeezpet,,500049,Hafeezpet,Hyderabad,Telangana,500049,,Hafeezpet,Hafeezpet
