School Type,School No,School Name,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,,OV-2026,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
1-year School,398948,Dalmia Public School,2026,2026-01-27 00:00:00,Ei CARES,Regular,IN-2022004267,Approved By Logistic Team,,192605,344009,344009,0,0,,344009,215,1600,0,0,,0,Full Payment,,2026-04-30 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,0.3846,0.3846,,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Veraval,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036752112,51788000002736056,zcrm_51788000304297705,2026-01-27 00:00:00,gaurav.muliya_ei,fagun.saraiya_eiindia1,gaurav.muliya@ei.study,Gaurav muliya,Gaurav Muliya,,2026-01-28 17:10:02,Mrs. Usha Sureshkumar,Principal,dalps@rediffmail.com,+919099099494,dalps@rediffmail.com,Usha Sureshkumar,dalps@rediffmail.com,+919099099494,Usha Sureshkumar,dalps@rediffmail.com,+919099099494,36000,Veraval-Prashnavada-Kodinar Rd,,362275,"GHCL Campus,",Veraval,Gujarat,362275,,"GHCL Campus, Veraval-Prashnavada-Kodinar Rd, Sanjay Nagar, AT: Sutrapada","GHCL Campus, Veraval-Prashnavada-Kodinar Rd, Sanjay Nagar, AT: Sutrapada"
New School,3993835,"Kunskapsskolan, Lucknow",2026,2026-02-02 00:00:00,Ei ASSET,Regular,IN-2022004281,Approved By Logistic Team,,#N/A,117000,117000,117000,150,780,0,0,,0,0,,0,Full Payment,,2026-02-06 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-14 00:00:00,2026-02-14 00:00:00,117000,117000,0,0.35,0.35,,,,,Winter Round,Online,0,MCQ,,,,CBSE,Lucknow,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2026-03-31 00:00:00,2026-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036920108,51788000002813276,zcrm_51788000305762636,2026-02-02 00:00:00,mohd.saqib_ei,maruf.shaikh1,mohd.saqib@ei.study,Mohd saqib,Mohd Saqib,,2026-02-21 23:05:11,Mrs. Madhulika Agarwal,Principal,Principal.kkl@ked.edu.in,+917887094040,principal.kkl@ked.edu.in,Mrs. Madhulika Agarwal,Principal.kkl@ked.edu.in,+917887094040,Mrs Bhawna,Bhawna.kkl@ked.edu.in,+918317087629,50000,Opp Medanta hospital,,226002,"Sector-A, Pocket-1, Ansal Sushant Golf City, Shaheed Path Road, Arya Rd, Lucknow, Uttar Pradesh 226002",Lucknow,Uttar Pradesh,226002,,"Sector-A, Pocket-1 Ansal Sushant Golf Cityshaheed Path Road","Sector-A, Pocket-1 Ansal Sushant Golf Cityshaheed Path Road"
New School,3994402,Manav Rachna International School,2026,2026-01-19 00:00:00,Ei ASSET,Regular,IN-2022004242,Approved By Logistic Team,,#N/A,93600,93600,93600,156,600,0,0,,0,0,,0,Installments,2,,2026-01-19 00:00:00,46800,2026-09-01 00:00:00,46800,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,46800,0,46800,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Faridabad,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036442684,51788000002814455,zcrm_51788000302400859,2026-01-19 00:00:00,puneet.khurana_ei,maruf.shaikh1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,Himanshi Yadav,2026-01-24 14:37:05,Ms. Monika Kathuria,Principal,principal.mris21@mris.edu.in,+918527990321,principal.mris21@mris.edu.in,Ms. Monika Kathuria,principal.mris21@mris.edu.in,+918527990321,Ms.Meenu,veena.accounts@mriu.edu.in,+919871132257,0,Sec21-C Faridabad,,121001,Sec21-C Faridabad,Faridabad,Haryana,121001,,Sector 21C,Sector 21C
New School,3994403,Manav Rachna International School,2026,2026-01-19 00:00:00,Ei ASSET,Regular,IN-2022004241,Approved By Logistic Team,,#N/A,354600,354600,354600,591,600,0,0,,0,0,,0,Installments,2,,2026-01-19 00:00:00,177300,2026-09-01 00:00:00,177300,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,177300,0,177300,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Faridabad,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036442644,51788000002814456,zcrm_51788000302470022,2026-01-19 00:00:00,puneet.khurana_ei,maruf.shaikh1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,Himanshi Yadav,2026-01-24 14:37:27,Ms. Mamta Wadhwa,Principal,directorprincipal.mris14@mris.edu.in,+919871776784,counsellor.mris14@mris.edu.in,Ms. Mamta Wadhwa,directorprincipal.mris14@mris.edu.in,+919871776784,Ms. Shaveta Bhatia,shaveta.mris14@mris.edu.in,+919971340003,123000,"715, Chaudhary Charan Singh Marg, Sector 14, Faridabad, Haryana 121007",,121007,"715, Chaudhary Charan Singh Marg, Sector 14, Faridabad, Haryana 121007",Faridabad,Haryana,121007,,"715, Chaudhary Charan Singh Marg, Sector 14, Faridabad, Haryana 121007","715, Chaudhary Charan Singh Marg, Sector 14, Faridabad, Haryana 121007"
New School,3994404,Manav Rachna International School,2026,2026-01-19 00:00:00,Ei ASSET,Regular,IN-2022004238,Approved By Logistic Team,,#N/A,103800,103800,103800,173,600,0,0,,0,0,,0,Installments,2,,2026-01-19 00:00:00,51900,2026-09-01 00:00:00,51900,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,51900,0,51900,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Gurugram,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036442516,51788000002814457,zcrm_51788000302369927,2026-01-19 00:00:00,puneet.khurana_ei,maruf.shaikh1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,Himanshi Yadav,2026-01-24 14:36:45,Ms. Deepika Chaudhary,Principal,principal.mris51@mris.edu.in,+918800495692,info.mris51@mris.edu.in,Ms. Deepika Chaudhary,principal.mris51@mris.edu.in,+918800495692,Ms. Vinci Garg,vinci.mris51@mris.edu.in,+919990490240,13000,"C Block, Nirvana Central Rd, Pocket C, Mayfield Garden, Sector 51, Gurugram, Haryana 122018",,122008,"C Block, Nirvana Central Rd, Pocket C, Mayfield Garden, Sector 51, Gurugram, Haryana 122018",Gurugram,Haryana,122008,,"C Block, Nirvana Central Rd, Pocket C, Mayfield Garden, Sector 51, Gurugram, Haryana 122018","C Block, Nirvana Central Rd, Pocket C, Mayfield Garden, Sector 51, Gurugram, Haryana 122018"
Retention School,399475,"St. Francis De Sales Hr. Secondary School, Narengi",2026,"2026-02-05 00:00:00, 2026-02-06 00:00:00","Ei CARES, Ei Mindspark",Regular,"IN-2022004295, IN-2022004296, IN-2022004297, IN-2022004299",Approved By Logistic Team,,3557929,3672288,4037559,0,0,,1643002,1562,"1244, 622, 972",2029286,1881,1079,0,Installments,4,,2026-04-30 00:00:00,"177611, 207790, 25350, 598639",2026-07-13 00:00:00,"177611, 207790, 25350, 598639",2026-10-12 00:00:00,"177611, 207790, 25350, 598639",2026-12-31 00:00:00,"177611, 207790, 25350, 598639",0,,,0,0,0,"0.6262, 0.6445000000000001, 0.6464, 0.6544","0.6262, 0.6445000000000001, 0.6464, 0.6544",,,,,0,,"0, 2, 4",MCQ,Printing By EI,OMR,Online,CBSE,Guwahati,Assam,East,North East,National Sales,"2026-03-16 00:00:00, 2026-04-01 00:00:00",2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000037020384, 22028000037028672, 22028000037028736, 22028000037028796",51788000002736061,"zcrm_51788000306200073, zcrm_51788000306200104, zcrm_51788000306200132, zcrm_51788000306200163","2026-02-05 00:00:00, 2026-02-06 00:00:00",pooja.kapoor_eiindia1,maruf.shaikh1,pooja.kapoor@ei.study,Pooja kapoor,Pooja Kapoor,,"2026-02-06 16:10:46, 2026-02-06 16:11:10, 2026-02-06 16:11:33, 2026-02-06 16:11:50",Mr. Fr. P. George Thomas,Principal,principal@sfsguwahati.ac.in,+919531055724,principal@sfsnarengi.ac.in,"FR. MELVIN PK, Fr Melvin PK, Fr. Melvin PK, Mr. Fr. George PK","FRMELVIN.VP@sfsguwahati.ac.in, principal@sfsguwahati.ac.in",+919531055724,"ADREENA BORA, Adreena Bora",coe@sfsguwahati.ac.in,+919707149800,0,"Udyan Vihar, NSFS Provincialate,",,781171,,Guwahati,Assam,781171,SHLM02849A,"Udyan Vihar, NSFS Provincialate,Satgaon-Narengi","Udyan Vihar, NSFS Provincialate,Satgaon-Narengi"
New School,3994834,Mother Mary's School,2026,2025-12-29 00:00:00,"Ei ASSET,Ei CARES",Regular,IN-2022004197,Approved By Logistic Team,,#N/A,1231121,1231121,659529,1201,549,571592,1201,476,0,0,,0,Installments,4,,2025-12-30 00:00:00,307780,2026-06-01 00:00:00,307780,2026-09-30 00:00:00,307780,2026-12-30 00:00:00,307780,0,2026-01-12 00:00:00,2026-01-12 00:00:00,307780,150000,157780,0.6339,0.5339,,0.05,0.05,,Summer Round,OMR,2,MCQ + Subjective,Printing By EI,OMR,,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036088232,51788000002815295,zcrm_51788000302444266,2025-12-29 00:00:00,soumya.subudhi_ei,fagun.saraiya_eiindia1,soumya.subudhi@ei.study,Soumya subudhi,Soumya Suman Subudhi,,2026-01-13 12:10:55,Mrs. Manisha Joshi,Principal,manisha_joshi@mothermarys.school,+919811563166,mothermarysmv@gmail.com,Mrs. Manisha Joshi,manisha_joshi@mothermarys.school,+919811563166,Mrs. Manisha Joshi,manisha_joshi@mothermarys.school,+919811563166,70000,Mother Mary's School,,110091,Mother Mary's School,Delhi,Delhi,110091,,"Sahkarita Marg,Mayur Vihar, Delhi, Delhi","Sahkarita Marg,Mayur Vihar, Delhi, Delhi"
Retention School,3994892,Kavyapta Global School,2026,2026-02-10 00:00:00,Ei Mindspark,Regular,IN-2022004320,Approved By Logistic Team,,648652,545923,644189,0,0,,0,0,,545923,285,1916,0,Installments,3,,2025-04-01 00:00:00,219024,2026-07-01 00:00:00,212582,2026-09-01 00:00:00,212582,2000-01-01 00:00:00,0,0,,,219024,0,219024,0.6233,0.6233,,,,,0,,0,MCQ,,,Online,CBSE,Kharsawan,Jharkhand,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037110660,51788000002815455,zcrm_51788000306364176,2026-02-10 00:00:00,rana.singh_ei,mitul.patel_ei1,rana.singh@ei.study,Rana singh,Fayiez Ahmad,,2026-02-12 10:50:48,Kabita Agrawal,Principal,kavyaptaglobal@gmail.com,+919263888888,kavyaptaglobal@gmail.com,Kabita Agrawal,kavyaptaglobal@gmail.com,+919952657432,Akshay Agrawal,kavyaptaglobal@gmail.com,+919952657432,45500,"Kavyapta Global School NH-33, Pardih Chowk, Mango, Jamshedpur, Pin - 831012",,831012,"Pardih Chowk, Mango",Kharsawan,Jharkhand,831012,RCHK00804G,"Kavyapta Global School NH-33, Pardih Chowk, Mango, Jamshedpur, Pin - 831012","Kavyapta Global School NH-33, Pardih Chowk, Mango, Jamshedpur, Pin - 831012"
New School,3997196,Shastra School,2026,2026-01-21 00:00:00,Ei CARES,Regular,IN-2022004254,Approved By Logistic Team,,#N/A,376020,376020,0,0,,376020,248,1516,0,0,,0,Installments,4,,2026-03-31 00:00:00,94005,2026-06-01 00:00:00,94005,2026-09-01 00:00:00,94005,2026-12-01 00:00:00,94005,0,2026-02-05 00:00:00,2026-02-05 00:00:00,0,50000,-50000,0.515,0.515,,,,,0,,4,MCQ,Printing By School,OMR,,CBSE,Mahabubnagar,Telangana,South,AP/Telangana,National Sales,2026-03-01 00:00:00,2027-03-01 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036515060,51788000002820105,zcrm_51788000305162014,2026-01-21 00:00:00,neela.omprakash_ei,maruf.shaikh1,neela.omprakash@ei.study,Neela omprakash,Neela  Om Prakash,,2026-02-06 20:30:05,Mr. Naresh Gubba,School Owner,shastraschool.9@gmail.com,+919160937489,info@shastraschool.co.in,Naresh Gubba,shastraschool.9@gmail.com,+919160937489,Naresh Gubba,shastraschool.9@gmail.com,+919160937489,55000,"Veldanda, Mandal",,509360,"Veldanda, Mandal",Mahabubnagar,Telangana,509360,,"Kotra X Road, Kotra (Vill), Veldanda (Mdl), Mahabubnagar (Dist), Telangana","Kotra X Road, Kotra (Vill), Veldanda (Mdl), Mahabubnagar (Dist), Telangana"
New School,3998514,St. Karen's Secondary School,2026,2026-02-17 00:00:00,Ei ASSET,Regular,IN-2022004356,Approved By Logistic Team,,#N/A,629910,629910,629910,900,700,0,0,,0,0,,0,Installments,4,,2026-05-30 00:00:00,157478,2026-06-30 00:00:00,157478,2026-10-31 00:00:00,157478,2026-12-31 00:00:00,157478,0,2026-03-09 00:00:00,2026-03-09 00:00:00,0,18000,-18000,0.5334,0.5334,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Patna,Bihar,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037343148,51788000002822749,zcrm_51788000305930267,2026-02-17 00:00:00,ajit.ojha_eiindia,mitul.patel_ei1,ajit.ojha@ei.study,Ajit ojha,Ajit Ojha,,2026-03-10 12:32:51,Marykutty Thomas,Principal,contact@stkarenssecondaryschool.com,+919031018771,contact@stkarenssecondaryschool.com,Marykutty Thomas,contact@stkarenssecondaryschool.com,+919031018771,Marykutty Thomas,contact@stkarenssecondaryschool.com,+919031018771,28000,Khagaul Road,,801105,Kahgaul Road,Patna,Bihar,801105,,Danapur Patna Bihar,Danapur Patna Bihar
New School,3999434,The New Green Field Public Academy,2026,2026-03-02 00:00:00,Ei CARES,Regular,IN-2022004461,Approved By Logistic Team,,#N/A,595003,595003,0,0,,595003,700,850,0,0,,0,Installments,3,,2026-03-02 00:00:00,208251,2026-08-17 00:00:00,208251,2026-11-25 00:00:00,178501,2000-01-01 00:00:00,0,0,2026-03-05 00:00:00,2026-03-05 00:00:00,208251,208251,0,0.5640999999999999,0.5640999999999999,,,,,0,,0,MCQ,Printing By EI,OMR,,CBSE,Indore,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037621104,51788000002824587,zcrm_51788000257170419,2026-03-02 00:00:00,Laxminarayan Dogayan,mitul.patel_ei1,laxminarayan.dogayan@ei.study,Laxminarayan dogayan,Laxminarayan Dogayan,,2026-03-06 16:53:24,Mr. Raunak Mittal,School Owner,raunakmittal@newgreenfield.in,+919826098740,info@newgreenfield.in,Mrs. Runzun Goyal,runzungoyal@newgreenfield.in,+919926100161,Mrs. Indra Mittal,info@newgreenfield.in,+917312559177,40000,"Scheme No.-94, Sec. -B",,452001,"Scheme No. 94, sector - B,",Indore,Madhya Pradesh,452001,,"Scheme No.-94, Sec. -Bring Road (Near Bombay Hospital)","Scheme No.-94, Sec. -Bring Road (Near Bombay Hospital)"
Retention School,4002148,Mothers Public School-Khandagiri,2026,"2025-12-20 00:00:00, 2025-12-21 00:00:00","Ei ASSET, Ei CARES",Regular,"IN-2022004157, IN-2022004158",Approved By Logistic Team,,877471,992909,992909,338052,483,700,654857,453,1446,0,0,,0,Installments,"2, 4",,"2026-04-10 00:00:00, 2026-07-06 00:00:00","101416, 163714","2026-07-10 00:00:00, 2026-12-31 00:00:00","163714, 236636","2000-01-01 00:00:00, 2026-10-10 00:00:00","0, 163714","2000-01-01 00:00:00, 2026-12-31 00:00:00","0, 163714",0,,,0,0,0,"0.444, 0.5334","0.444, 0.5334",,,,,"0, Winter Round",OMR,"0, 4",MCQ,Printing By EI,OMR,,CBSE,Bhubaneswar,Odisha,East,Odisha,National Sales,2026-04-06 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000035892396, 22028000035909228",51788000002804763,"zcrm_51788000303062009, zcrm_51788000303062185","2025-12-20 00:00:00, 2025-12-21 00:00:00",rana.singh_ei,mitul.patel_ei1,rana.singh@ei.study,Rana singh,Lopamudra Das,,"2026-01-07 23:57:39, 2026-01-07 23:59:11",Supreet Kaur Rajpal,Principal,principal.khandagiri@mothers.edu.in,+919438486499,mothers.khandagiri@mothers.edu.in,Supreet Kaur Rajpal,principal.khandagiri@mothers.edu.in,"+917608000321, +919438486499",Mayuri Joshi,mayuri.joshi@mothers.edu.in,+919438792009,0,"Plot No-802- P/6,",,751030,"Plot No-802- P/6,",Bhubaneswar,Odisha,751030,BBNS09011C,"Plot No-802- P/6, Opp. The Aurobindo Integral School, Khandagiri, Bhubaneswar","Plot No-802- P/6, Opp. The Aurobindo Integral School, Khandagiri, Bhubaneswar"
"1-year School, New School",4041890,"Apeejay School, Bhubaneswar",2026,"2025-10-06 00:00:00, 2026-02-21 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022003982, IN-2022003989, IN-2022004385",Approved By Logistic Team,,1408530,3250816,3691945,800100,889,900,0,0,,2450716,1137,"0, 2288",0,"Full Payment, Installments","2, 4",2026-04-02 00:00:00,"2000-01-01 00:00:00, 2026-04-02 00:00:00, 2026-10-15 00:00:00","0, 400050, 722961","2000-01-01 00:00:00, 2026-07-02 00:00:00, 2026-12-15 00:00:00","0, 400050, 722961","2000-01-01 00:00:00, 2026-10-02 00:00:00","0, 722961","2000-01-01 00:00:00, 2026-12-30 00:00:00","0, 722961",0,,,0,0,0,"0.25, 0.4, 1","0.25, 0.4, 1",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Bhubaneswar,Odisha,East,Odisha,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000033682084, 22028000033683588, 22028000037458252",51788000002826775,"zcrm_51788000297908708, zcrm_51788000297966666, zcrm_51788000307142611","2025-10-06 00:00:00, 2026-02-21 00:00:00",sanjeet.das_eiindia1,mitul.patel_ei1,sanjeet.das@ei.study,Sanjeet das,Sanjeet Das,,"2025-10-08 14:14:17, 2025-10-08 14:15:13, 2026-02-23 17:29:41","Darryl Bloud, Ms. Moonmoon Ghosh","Accounts, Other","darrylbloud@apeejaygroup.com, moonmoonghosh@apeejaygroup.com","+919437880926, +919831096385",vp.bbsr@apeejayschool.com,Laxmibati Das,vp.bbsr@apeejayschool.com,+919437880926,"Laxmibati Das, Piyali Das","easchoolceo@apeejaygroup.com, vp.bbsr@apeejayschool.com","+916289161381, +919437880926",210000,"Ghatikia Road, Ghatikia",,751003,"Ghatikia Road, Ghatikia,",Bhubaneswar,Odisha,751003,,"Ghatikia Road, Ghatikia, Near Durga Mandap","Ghatikia Road, Ghatikia, Near Durga Mandap"
1-year School,4091040,Vyasanagar Public School,2026,2026-01-21 00:00:00,Ei CARES,Regular,IN-2022004249,Approved By Logistic Team,,447065,436451,436451,0,0,,436451,606,720,0,0,,0,Installments,3,,2026-04-01 00:00:00,148393,2026-07-01 00:00:00,144029,2026-10-01 00:00:00,144029,2000-01-01 00:00:00,0,0,2026-02-05 00:00:00,2026-02-05 00:00:00,0,10000,-10000,0.6672,0.6672,,,,,0,,0,MCQ + Subjective,Printing By EI,OMR,,CBSE,Jajpur Road,Odisha,East,Odisha,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036460788,51788000007807650,zcrm_51788000302688278,2026-01-21 00:00:00,srikanta.rout_eiindia,mitul.patel_ei1,srikanta.rout@ei.study,Srikanta rout,Srikanta Kumar Rout,,2026-01-30 12:44:09,Ms. Debasmita Sahu,Principal,debasmitasahu02@gmail.com,+919937969593,info.vyasanagarps@gmail.com,Dr. Debasmita Sahu,debasmitasahu02@gmail.com,+91933797511,Dr. Debasmita Sahu,debasmitasahu02@gmail.com,+91933797511,37350,Chorda,,755019,Chorda,Jajpur Road,Odisha,755019,,"Chorda (Vyasa Nagar), Jajpur Road, Dist:-Jajpur State:- Odisha","Chorda (Vyasa Nagar), Jajpur Road, Dist:-Jajpur State:- Odisha"
1-year School,414020,St. Joseph's Convent,2026,2026-01-21 00:00:00,Ei CARES,Regular,IN-2022004247,Approved By Logistic Team,,1125540,1440285,1440285,0,0,,1440285,900,1600,0,0,,0,Installments,4,,2026-04-01 00:00:00,360071,2026-07-01 00:00:00,360071,2026-10-01 00:00:00,360071,2026-12-30 00:00:00,360071,0,,,0,0,0,0.527,0.527,,,,,0,,2,MCQ + Subjective,Printing By EI,OMR,,CISCE,Chandannagar,West Bengal,East,West Bengal,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036489264,51788000002736282,zcrm_51788000297325723,2026-01-21 00:00:00,soumodeep.ghosh_ei,mitul.patel_ei1,soumodeep.ghosh@ei.study,Soumodeep ghosh,Soumodeep Ghosh,,2026-02-02 10:58:48,Sister Anna Maria,,stjoseph_1861@yahoo.co.in,+919674675057,stjoseph_1861@yahoo.co.in,Sister Anna Maria,stjoseph_1861@yahoo.co.in,+919674675057,Sister Anna Maria,stjoseph_1861@yahoo.co.in,+919674675057,20332,"Strand Road, Hooghly District, ,Chandannagar,West Bengal - 712136,Chandannagar,West Bengal - 712136",,712136,"Strand Road, Hooghly District, ,Chandannagar,West Bengal - 712136,Chandannagar,West Bengal - 712136",Chandannagar,West Bengal,712136,CALS13884D,"Strand Road, Hooghly District, ,Chandannagar,West Bengal - 712136,Chandannagar,West Bengal - 712136","Strand Road, Hooghly District, ,Chandannagar,West Bengal - 712136,Chandannagar,West Bengal - 712136"
Retention School,416793,Sanskriti The Gurukul,2026,"2026-01-22 00:00:00, 2026-02-20 00:00:00","Ei ASSET, Ei ASSET,Ei CARES",Regular,"IN-2022004255, IN-2022004378, IN-2022004379, IN-2022004380",Approved By Logistic Team,,1319828,1132798,1132798,867424,1024,"1200, 148, 652, 958",265374,435,"522, 925",0,0,,0,"Full Payment, Installments",2,"2026-01-29 00:00:00, 2026-04-02 00:00:00, 2026-04-06 00:00:00","2000-01-01 00:00:00, 2026-04-02 00:00:00","0, 319464","2000-01-01 00:00:00, 2026-05-04 00:00:00","0, 79866",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,"0, 101999",0,"0, 101999","0.3333, 0.361, 0.5051, 0.565","0.3333, 0.361, 0.5051, 0.565",,,,,Summer Round,Online,"0, 2",MCQ,,Online,,CISCE,Guwahati,Assam,East,North East,National Sales,"2026-02-02 00:00:00, 2026-02-16 00:00:00, 2026-03-09 00:00:00, 2026-03-16 00:00:00",2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000036515172, 22028000037418488, 22028000037418544, 22028000037418640",51788000002736307,"zcrm_51788000305007007, zcrm_51788000307075583, zcrm_51788000307098020, zcrm_51788000307098277","2026-01-22 00:00:00, 2026-02-20 00:00:00",pooja.kapoor_eiindia1,mitul.patel_ei1,pooja.kapoor@ei.study,Pooja kapoor,Pooja Kapoor,,"2026-02-03 10:31:47, 2026-02-27 14:47:44, 2026-02-27 14:47:57, 2026-02-27 14:48:22",Mr. Ashutosh Aggarwal,School Owner,ashutosh.aggarwal@sanskritithegurukul.in,+9198640228962,ashutosh.aggarwal@sanskritithegurukul.in,Mr. Ashutosh Aggarwal,ashutosh.aggarwal@sanskritithegurukul.in,+9198640228962,Gargi Das,gargi.das@sanskritithegurukul.in,+919707786178,0,Gugh,,781035,,Guwahati,Assam,781035,,"Gugh,Ahomgaon,NH-37,Opposite ISBT","Gugh,Ahomgaon,NH-37,Opposite ISBT"
Retention School,437634,Nand Vidya Niketan,2026,2026-03-12 00:00:00,Ei CARES,Regular,IN-2022004524,Approved By Logistic Team,,1002047,1000288,1000288,0,0,,1000288,2405,416,0,0,,0,Installments,2,,2026-04-30 00:00:00,600173,2026-08-17 00:00:00,400115,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,0.8267,0.7767000000000001,,,,0.05,0,,4,MCQ,,Online,,CBSE,Jamnagar,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037879104,51788000002736697,zcrm_51788000308168167,2026-03-12 00:00:00,ishita.jethwa_ei,fagun.saraiya_eiindia1,ishita.jethwa@ei.study,Ishita jethwa,Nakul Swamy,,2026-03-12 13:08:35,Mr. Radheshyam Pandey,Principal,ishita.jethwa@ei.study,+919557855361,nvn.nvn@redffmail.com,Mr. Radheshyam Pandey,principal.nvn.essar@gmail.com,+919557855361,Mr. Radheshyam Pandey,principal.nvn.essar@gmail.com,+919557855361,58000,"Dhichda Ring Road, Near Shrinath Petrol Pump",,361009,"Dhichda Ring Road, Near Shrinath Petrol Pump",Jamnagar,Gujarat,361009,RKTV03949B,"Dhichda Ring Road, Near Shrinath Petrol Pump","Dhichda Ring Road, Near Shrinath Petrol Pump"
